age_median_bp;temp_july;temp_ann;prec_ann
-0.07;12.9;-10.7;310.4
0.21;13.7;-10.2;331.6
0.5;14.3;-10.1;335.8
0.95;13.7;-10.2;330.5
1.29;14.2;-10;342.3
1.67;14.1;-10.3;326.9
2.07;13.8;-10.1;335.9
2.44;13.9;-9.9;349
2.83;13.8;-10.2;332.6
3.2;13.4;-10.1;336.2
3.79;13.7;-10.2;331
4.53;13.8;-10.5;319.6
5.04;14;-9.8;349
5.5;13.7;-10.2;331.6
5.98;13.5;-10.5;319.2
6.46;13.2;-10.6;320.6
6.84;14.4;-9.8;347.6
7.22;13.7;-10.3;328.8
7.82;14.3;-10.1;335.4
8.3;13.8;-10.2;332.9
8.57;14.1;-9.9;345.9
8.77;14.4;-9.4;363.8
8.88;14;-10;342.2
8.99;14.4;-9.8;351
9.11;14.3;-9.9;344.7
9.23;13.5;-10.2;333.8
9.36;13.7;-9.8;354.3
9.54;13.3;-10.1;342.5
9.72;12.7;-10.3;335.8
9.98;12.3;-10.6;324.5
10.23;12;-10.8;313.2
10.45;11.4;-11;307.7
10.71;12;-10.6;325.4
11.03;12.2;-10.6;322.8
11.44;11.3;-10.4;338.4
12.23;10.5;-10.9;312.9
