depth,Ages,Name,Picea,Pinus s/g Dyploxilon,Pinus s/g Hapoxilon,Larix,Juniperus,B. sect. Albae,Betula sect. Nanae,Alnus fruticosa,Salix,Poaceae,Cyperaceae,Artemisia,Chenopodiaceae,Asteraceae,Cichoriaceae,Sausurea -type,Rosaceae,Sanguisorba officinalsis,Caryophyllaceae,Ranunculaceae,Thalictrum,Apiaceae,Rumex,Papaveraceae,Polygonum viviparum-type,Ericales,Calitriche,Valeriana,Rubus,Polemonium,Menyanthes,Myriophillum,Saxifraga,Fabaceae,Plantago,Onagraceae,Urtica,Indeterminata,Ceratophyllum leaf spinule,Brassicaceae,AP,NAP,AP.NAP
67,1094,1_60-160_10-12,0.0,0.0,73.0,16.2,0.0,2.7,0.6,2.1,1.8,0.3,1.5,0.0,0,0.3,0,0,0.3,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.3,0,96.39999999999999,3.5999999999999996,26.77777777777778
92,1564,1_60-160_35-37,0.0,0.3,66.8,8.2,0.6,2.7,4.3,12.2,0.6,1.5,0.9,0.3,0,0.0,0,0,0.3,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0,0,0.3,0,0.0,0,0,0,0.0,0.0,0,0.0,0.3,0,95.69999999999999,4.199999999999999,22.78571428571429
122,2162,1_60-160_65-67,0.0,0.0,67.8,15.2,0.0,1.4,1.8,4.6,2.1,3.5,2.1,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.7,0,92.89999999999999,7.0,13.27142857142857
152,2573,1_60-160_95-97,0.3,0.0,68.2,13.3,0.0,4.9,2.8,5.9,0.3,1.7,0.3,0.3,0,0.3,0,0,0.3,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,95.7,3.8999999999999995,24.538461538461544
181,2874,1_160-190.5_26-28,0.0,0.0,72.3,12.1,0.0,2.4,5.8,3.9,0.0,1.5,1.0,0.5,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,0,96.5,3.5,27.571428571428573
211,3160,1_160-190.5_56-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
239,3428,1_160-190.5_86-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
270,3729,2_250-350_22-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
302,4043,2_250-350_52-54,0.0,0.4,63.3,13.9,0.0,6.0,2.8,10.0,1.6,1.2,0.4,0.0,0,0.0,0,0,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,97.99999999999999,2.0,48.99999999999999
332,4349,2_250-350_82-84,0.3,0.0,76.1,15.2,0.0,3.1,1.4,0.7,0.0,1.0,1.7,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,96.8,3.0,32.266666666666666
362,4763,2_350-413_12-14,0.0,0.4,89.1,0.8,0.0,1.5,0.0,4.2,0.0,1.5,1.1,0.0,0,0.0,0,0,1.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,96.0,4.1000000000000005,23.41463414634146
392,5261,2_350-413_42-44,0.0,0.5,88.2,0.5,0.0,1.8,2.3,3.2,0.0,0.9,0.5,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,96.5,3.6999999999999997,26.081081081081084
432,5929,3_400-500_35-37,0.0,0.0,85.4,0.0,0.0,2.4,1.5,8.3,0.3,0.9,0.6,0.3,0,0.0,0,0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,97.9,2.1,46.61904761904762
462,6423,3_400-500_65-67,0.0,0.0,81.1,1.3,0.0,2.6,3.3,7.6,1.3,0.3,0.7,0.0,0,0.0,0,0,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,97.19999999999997,2.7,35.999999999999986
492,6868,3_400-500_95-97,0.0,0.0,73.5,7.0,0.0,2.7,2.1,10.4,0.3,1.5,1.5,0.3,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0.0,0,0.3,0,0,0,0.0,0.0,0,0.0,0.0,0,96.0,3.8999999999999995,24.61538461538462
524,7271,3_500-590_26-28,0.0,0.0,75.5,2.7,0.0,4.1,4.8,9.7,1.0,0.2,1.0,0.2,0,0.0,0,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,97.8,2.1,46.57142857142857
554,7668,3_500-590_56-58,0.0,0.0,51.6,0.3,0.0,4.0,8.3,23.4,3.1,4.0,3.7,0.0,0,0.0,0,0,0.3,0,0.0,0.3,0.6,0.0,0.0,0.3,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.3,0.0,0,90.69999999999999,9.500000000000002,9.547368421052628
578,7966,4_550-650_60-62,0.3,0.3,79.8,3.7,0.0,2.8,3.1,8.0,0.0,0.3,0.3,0.0,0,0.0,0,0,0.3,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0,0,0.0,0,0.0,0,0,0,0.0,0.3,0,0.0,0.3,0,97.99999999999999,2.1,46.66666666666666
584,8059,3_500-590_86-88,0.0,0.0,66.4,0.0,0.0,9.6,5.6,15.8,0.3,0.6,0.8,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,97.69999999999999,1.4,69.78571428571428
608,8491,4_550-650_30-32,0.0,0.0,0.4,0.0,0.0,9.6,33.6,47.1,1.8,3.9,3.2,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,92.5,7.1,13.028169014084508
638,9072,4_550-650_90-92,0.5,0.0,53.9,2.0,0.0,17.7,7.7,14.3,2.0,0.7,0.5,0.2,0,0.0,0,0,0.2,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,98.1,1.7999999999999998,54.5
667,9664,4_650-740_20-22,0.3,0.0,28.1,0.0,0.0,32.9,16.1,15.5,1.0,1.9,2.9,0.0,0,0.0,0,0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.3,0,93.9,5.999999999999999,15.650000000000004
697,10340,4_650-740_50-52,0.0,0.0,2.9,0.0,0.0,26.9,38.2,26.5,1.8,1.8,0.7,0.0,0,0.0,0,0,0.4,0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,96.3,3.6999999999999997,26.027027027027028
728,11010,4_650-740_80-82,0.3,0.0,0.0,10.4,0.0,19.5,22.6,38.7,0.6,4.4,1.9,0.0,0,0.0,0,0,1.3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,92.1,7.9,11.658227848101264
772,13687,5_750-850_23-25,0.0,0.0,0.6,0.6,0.0,0.6,34.4,29.6,5.4,8.3,13.7,3.5,0,0.3,0,0,0.0,0,0.3,0.0,0.6,0.3,0.0,0.0,0.0,1.3,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.3,0.0,0,71.2,28.600000000000005,2.489510489510489
